qid,question,question_context,no_rag_llm_answer,no_rag_f1,no_rag_precision,no_rag_recall
5726fa525951b619008f83f8,What symbol was employed until early in the 20th century?,"in Britain, where compounding was never common and not employed after 1930). However, although never in the majority, it was popular in many other countries. outside of the stationary marketplace due to various other issues including leakage and more delicate mechanisms. in France became Catholics and were called ""new converts"".",The pound sign (#) was used until 1900s.,0.0,0.0,0.0
5ad02f5777cf76001a686d87, According to Lenin why must capitalistic countries not have an imperialistic policy?,"There are ""formal"" or ""informal"" imperialisms. ""Formal imperialism"" is defined as ""physical control or full-fledged colonial rule"". ""Informal imperialism"" is less direct; however, it is still a powerful form of dominance. as empires due to their political and economic authority over other nations. would distract Germany from its central interest, Europe itself.",Lenin said imperialist policies contradict socialism's anti-colonial stance.,0.0,0.0,0.0
57283d173acd2414000df78f,When was the drainage basin of the Amazon believed to have split in the middle of South America?,"lake; now known as the Solimões Basin. Within the last 5–10 million years, this accumulating water broke through the Purus Arch, joining the easterly flow toward the Atlantic. but extended less far to the north, south, and east than is seen today. This debate has proved difficult to resolve because the practical limitations of working in the rainforest mean that data sampling is biased away from the center of the Amazon basin, and both explanations are reasonably well supported by the available data. turned into savanna or desert, with catastrophic consequences for the world's climate.","During the Cenozoic Era, around 20 million years ago.",20.0,12.5,50.0
5a57f717770dc0001aeeff07,What is one thing measuring in crystal lattices shows in ash layers?,"Paleoclimatologists also directly measure this ratio in the water molecules of ice core samples that are up to several hundreds of thousands of years old. radioactive isotopes and calibrate relative dating techniques. These methods can also be used to determine ages of pluton emplacement. Thermochemical techniques can be used to determine temperature profiles within the crust, the uplift of mountain ranges, and paleotopography. individual crystals. Stable and radioactive isotope studies provide insight into the geochemical evolution of rock units.","Temperature, indicating past volcanic activity.",0.0,0.0,0.0
5a0c96fbf5590b0018dab487,What makes it easier for the government to target tribal territories?,"strengthen their territorial claims. Currently, most tribes in the Amazon do not have clearly defined boundaries, making it easier for commercial ventures to target their territories. of participants being from governmental organizations. and New York) with large differences in household income.",Lack of representation and infrastructure in tribal areas.,0.0,0.0,0.0
5ad26aa8d7d075001a429322,What has water that is a lighter color than the Rhine?,"level, this flow of the Rhine water is clearly visible along the entire length of the lake. the Rhine flows into Lake Constance, so it is clearer to call the larger one Rhine-Meuse delta, or even Rhine–Meuse–Scheldt delta, as the Scheldt ends in the same delta. the Baltics, Scotland and the Alps, but left the space between as open tundra. The loess or wind-blown dust over that tundra, settled in and around the Rhine Valley, contributing to its current agricultural usefulness.",The Danube River.,0.0,0.0,0.0
57114b1a2419e31400955577,"Along with toys, where are oscillating cylinder steam engines typically used?","the land available for cultivation. There have at one time or another been steam-powered farm tractors, motorcycles (without much success) and even automobiles as the Stanley Steamer. from an internal combustion engine or industrial process. In the case of model or toy steam engines, the heat source can be an electric heating element. outside of the stationary marketplace due to various other issues including leakage and more delicate mechanisms.",In model trains and miniature railways.,0.0,0.0,0.0
57115ff82419e314009555c3,What is another term for rotors?,"outside of the stationary marketplace due to various other issues including leakage and more delicate mechanisms. disturbances created by the cilia, yet combs on the same row beat in the same Mexican wave style as the mechanically coordinated comb rows of cydippids and beroids. This may have enabled lobates to grow larger than cydippids and to have shapes that are less egg-like. a pair of long, slender tentacles, each housed in a sheath into which it can be withdrawn. Some species of cydippids have bodies that are flattened to various extents, so that they are wider in the plane of the tentacles.",Blades.,0.0,0.0,0.0
5ad4e56d5b96ef001a10a598,What is unable to evade the immune system?,"the antibody response. Masking antigens with host molecules is another common strategy for avoiding detection by the immune system. In HIV, the envelope that covers the virion is formed from the outermost membrane of the host cell; such ""self-cloaked"" viruses make it difficult for the immune system to identify them as ""non-self"" structures. of macrophages and lymphocytes. In addition, immunological tolerance may develop against tumor antigens, so the immune system no longer attacks the tumor cells. certain skin cells (e.g. melanocytes) into tumors called melanomas. A third possible source of tumor antigens are proteins normally important for regulating cell growth and survival, that commonly mutate into cancer inducing molecules called oncogenes.","Viruses, bacteria, and cancer cells.",0.0,0.0,0.0
573749741c4567190057445d,What concept explains why objects continue in constant motion?,"Inertia therefore applies equally well to constant velocity motion as it does to rest. theory of motion early in the 17th century. He showed that the bodies were accelerated by gravity to an extent that was independent of their mass and argued that objects retain their velocity unless acted on by a force, for example friction. These were all formulated and experimentally verified before Isaac Newton expounded his Three Laws of Motion.","Inertia, or Newton's First Law of Motion.",25.0,14.285714285714285,100.0
5a581adb770dc0001aeefff7,One of the earliest writings on India written by Fielding H. Garrison hypothesized what?,"and ideas that rationalized social, cultural, political, and economic control of other territories. – were offered, although in reality assimilation was always on the distant horizon. Contrasting from Britain, France sent small numbers of settlers to its colonies, with the only notable exception of Algeria, where French settlers nevertheless always remained a small minority. prominent citizens dating back more than three centuries.",The ancient Indian civilization's possible impact on America.,0.0,0.0,0.0
5ad2690ed7d075001a4292b4,What is the definition of agency as it unrelates to incapabilities? ,"Before the actual research explicitly devoted to the complexity of algorithmic problems started off, numerous foundations were laid out by various researchers. Most influential among these was the definition of Turing machines by Alan Turing in 1936, which turned out to be a very robust and flexible simplification of a computer. of government still don't believe in the legitimacy of their particular government, or don't believe in the legitimacy of a particular law it has enacted. And still other civil disobedients, being anarchists, don't believe in the legitimacy of any government, and therefore see no need to accept punishment for a violation of criminal law that does not infringe the rights of others. believed to be correct. In particular, the simplest assumption is that primes should have no significant irregularities without good reason.",The capacity to act independently with free will.,0.0,0.0,0.0
571142b3a58dae1900cd6d5d,What percentage of electrical power in the United States is made by steam turbines?,"Considering that the great majority of worldwide electric generation is produced by turbine type steam engines, the ""steam age"" is continuing with energy levels far beyond those of the turn of the 19th century. 90% of the electric power is produced in this way using a variety of heat sources. Steam turbines were extensively applied for propulsion of large ships throughout most of the 20th century. efficiency for a real cycle. The benefit of this is lost somewhat due to the lower heat addition temperature. Gas turbines, for instance, have turbine entry temperatures approaching 1500 °C. Nonetheless, the efficiencies of actual large steam cycles and large modern gas turbines are fairly well matched.[citation needed]",Approximately 60% of US electricity comes from steam turbines.,0.0,0.0,0.0
57376df3c3c5551400e51ed7,What can keep an object from moving when it is being pushed on a surface?,"friction increases or decreases in response to the applied force up to an upper limit determined by the characteristics of the contact between the surface and the object. to move with a non-zero velocity. Aristotle misinterpreted this motion as being caused by the applied force. However, when kinetic friction is taken into consideration it is clear that there is no net force causing constant velocity motion. This yields both the tangential force, which accelerates the object by either slowing it down or speeding it up, and the radial (centripetal) force, which changes its direction.",Friction or a stronger force holding it in place.,22.22222222222222,12.5,100.0
5a839654e60761001a2eb7f5,What does Pleurobrachia incorporate into their own tentacles?,"a highly specialized type. Coiling around prey is accomplished largely by the return of the tentilla to their inactive state, but the coils may be tightened by smooth muscle. in different types of prey: Pleurobrachia's long tentacles mainly capture relatively strong swimmers such as adult copepods, while Bolinopsis generally feeds on smaller, weaker swimmers such as rotifers and mollusc and crustacean larvae. than 20 centimeters (0.66 ft) long, can move much faster in what has been described as a ""darting motion"".","Pleurobrachia incorporate tiny, photosynthetic algae called zooxanthellae.",0.0,0.0,0.0
5a38ceaaa4b263001a8c1936,What did some buyers not like about Acuras?,"outside of the stationary marketplace due to various other issues including leakage and more delicate mechanisms. Carlo, Ford Thunderbird and various other models sold well. 2 are covered in the remainder of this article.",Some buyers complained about reliability and poor resale value.,0.0,0.0,0.0
572758e0f1498d1400e8f6b1,Granting what status would allow private non-religious schools in the US to receive public funds?,"Clause of the First Amendment or individual state Blaine Amendments. Non-religious private schools theoretically could qualify for such funding without hassle, preferring the advantages of independent control of their student admissions and course content instead of the public funding they could get with charter status. and computers. Some private schools are boarding schools and many military academies are privately owned or operated as well. schools in Australia are always more expensive than their public counterparts.[citation needed]","Charter school status, allowing them to receive public funding.",20.0,11.11111111111111,100.0
5ad40c62604f3c001a400067, Where in Central Asia didn't the Han Chinese move?,"as Great Khan. Civil strife had permanently divided the Mongol Empire. The Germanic populations of these lands seem in Roman times to have been scanty, and Roman subjects from the modern Alsace-Lorraine had drifted across the river eastwards. was seized by the Ming shortly after his death. Some royal family members still lived in Henan today.","Mongolia, where they were resisted by local tribes.",0.0,0.0,0.0
5a678f35f038b7001ab0c2c5,How well are teachers paid in public schools in Australia?,"in secondary schools. Retention rates for the final two years of secondary school were 77 per cent for public school students and 90 per cent for private school students. Victoria has about 63,519 full-time teachers. on average £43,389 per annum, compared to £40,000 in the UK. Some construction workers in the US/Canada have made more than $100,000 annually, depending on their trade. from pre-school to tertiary level institutions. Annual tuition fees at K-12 schools range from nothing at so called 'tuition-free' schools to more than $45,000 at several New England preparatory schools.","Teachers' salaries vary, but generally competitive with other professions.",0.0,0.0,0.0
5ad14d8e645df0001a2d16b8,Who agreed to sign the Social Charter and was exempt from the legislation covering Social Charter issues?,"Generals persuasively argued that Directives should create rights and duties for all citizens. The Court of Justice refused, but there are five large exceptions. Charter became the basis for European Community legislation on these issues in 40 pieces of legislation. Estonia, Hungary, Latvia, Lithuania, Malta, Poland, Slovakia and Slovenia in 2004, Romania and Bulgaria in 2007 and Croatia in 2013. Greenland signed a Treaty in 1985 giving it a special status.","The UK government, due to its opt-out clause.",0.0,0.0,0.0
5726f36cdd62a815002e95ff,How many drugs approved by the FDA in 2013 were specialty drugs?,sector of the pharmaceutical industry with 19 of 28 newly FDA approved medications in 2013 being specialty drugs. Medical Association (AMA) Code of Ethics provides that physicians may dispense drugs within their office practices as long as there is no patient exploitation and patients have the right to a written prescription that can be filled elsewhere. 7 to 10 percent of American physicians practices reportedly dispense drugs on their own. 2 are covered in the remainder of this article.,21 specialty drugs were approved by FDA in 2013.,25.0,22.22222222222222,28.57142857142857
5ad2895bd7d075001a429982,A liberal force that acts on a closed system has what kind of mechanical work?,"nonconservative forces necessarily result in energy transformations within closed systems from ordered to more random conditions as entropy increases. work done on the load is the same no matter how complicated the machine. manifests as a force model that is independent of any macroscale position vector. Nonconservative forces other than friction include other contact forces, tension, compression, and drag. However, for any sufficiently detailed description, all these forces are the results of conservative ones since each of these macroscopic forces are the net results of the gradients of microscopic potentials.","Positive, as it increases the system's energy.",0.0,0.0,0.0
5ad3a21d604f3c001a3fea20,What was the insignificance of British win?,"and ultimately Quebec. Though the British were later defeated at Sainte Foy in Quebec, the French ceded Canada in accordance with the 1763 treaty. he threatened the French with military action, which Marin contemptuously dismissed. would distract Germany from its central interest, Europe itself.",Loss of American colonies due to independence.,0.0,0.0,0.0
5a7b064b21c2de001afe9ce6,What area was renamed Pinedale?,"is now downtown Jacksonville; this may be the earliest recorded name for that area. into the large and small interior valleys, to the vast deserts of California. the world. Developer William Smilie created the nation's first planned aviation community. Still in operation today, the public use airport provides a unique neighborhood that spawned interest and similar communities nationwide.",Pinedale was originally named Twin Lakes.,0.0,0.0,0.0
5ad0421177cf76001a686f14,"What census showed southern California as having a population of 26,860, 010?","As of the 2010 United States Census, southern California has a population of 22,680,010. Despite a reputation for high growth rates, southern California's rate grew less than the state average of 10.0% in the 2000s as California's growth became concentrated in the northern part of the state due to a stronger, tech-oriented economy in the Bay Area and an emerging Greater Sacramento region. With over 22 million people, southern California contains roughly 60 percent of California's population. Its counties of Los Angeles, Orange, San Diego, San Bernardino, and Riverside are the five most populous in the state and all are in the top 15 most populous counties in the United States.",2020 United States Census.,0.0,0.0,0.0
5ad40639604f3c001a3ffe4e, What was the least notable publication of Tugh's academy?,"in the fields of travel literature, cartography, geography, and scientific education. in the government, but their official rank was nebulous. (Concerning medical substances) was used a basis for many medieval texts, and was built upon by many middle eastern scientists during the Islamic Golden Age. The title coined the term materia medica.","I couldn't find information on ""Tugh's Academy"".",0.0,0.0,0.0
57096f37200fba1400367fe7,Can BSkyB veto the presence of channels on their EPG?,"subscription prices (including 9% in Sky's family package) and the dropping of the 3D channel. discounts ranging from reduced price to free EPG entries, free carriage on a BSkyB leased transponder, or actual payment for being carried. However, even in this case, BSkyB does not carry any control over the channel's content or carriage issues such as picture quality. designed and built by different manufacturers, must conform to the same user interface look-and-feel as all the others. This extends to the Personal video recorder (PVR) offering (branded Sky+).","Yes, as a broadcaster, they can control channel listings.",0.0,0.0,0.0
571c4132dd7acb1400e4c0b1,What did Priestley name the gas his experiment produced?,"titled Experiments and Observations on Different Kinds of Air. Because he published his findings first, Priestley is usually given priority in the discovery. later became nitrogen in English, although it has kept the name in French and several other European languages. over water caused the water to rise and replace one-fourteenth of the air's volume before extinguishing the subjects. From this he surmised that nitroaereus is consumed in both respiration and combustion.",Phlogiston.,0.0,0.0,0.0
5ad3a38c604f3c001a3fea66,Where did British soldiers live?,"in France became Catholics and were called ""new converts"". contributed to the founding of the modern Cajun population. (The French word ""Acadien"" evolved to ""Cadien"", then to ""Cajun"".) prominent citizens dating back more than three centuries.","In barracks, tents, or other military quarters.",0.0,0.0,0.0
5729fd56af94a219006aa732,What are two factors that made it difficult for colonists to the Amazon forest to survive?,"toxins through their flesh. There are also numerous parasites and disease vectors. Vampire bats dwell in the rainforest and can spread the rabies virus. Malaria, yellow fever and Dengue fever can also be contracted in the Amazon region. and the slash and burn method. However, the colonists were unable to manage their fields and the crops because of the loss of soil fertility and weed invasion. The soils in the Amazon are productive for just a short period of time, so farmers are constantly moving to new areas and clearing more land. These farming practices led to deforestation and caused extensive environmental damage. but extended less far to the north, south, and east than is seen today. This debate has proved difficult to resolve because the practical limitations of working in the rainforest mean that data sampling is biased away from the center of the Amazon basin, and both explanations are reasonably well supported by the available data.",Disease and harsh climate were major obstacles.,16.666666666666664,14.285714285714285,20.0
572973f76aef051400154f0d,"Besides 1,3 and 7, what other number must all primes greater than 5 end with?","when written in the usual decimal system, all prime numbers larger than 5 end in 1, 3, 7, or 9, since even numbers are multiples of 2 and numbers ending in 0 or 5 are multiples of 5. 1 is not a prime number, but rather forms its own special category as a ""unit"". e.g., 3, 1 · 3, 1 · 1 · 3, etc. are all valid factorizations of 3.",2 or 5.,0.0,0.0,0.0
572ffa79a23a5019007fcbeb,What period did plates reverse directions to compress the Tethys floor?,"geography: Iberia pushed up the Pyrenees; Italy, the Alps, and Anatolia, moving west, the mountains of Greece and the islands. The compression and orogeny continue today, as shown by the ongoing raising of the mountains a small amount each year and the active volcanoes. surface of the Earth and the convecting mantle is called plate tectonics. of the Earth over geologic time. They also provided a driving force for crustal deformation, and a new setting for the observations of structural geology. The power of the theory of plate tectonics lies in its ability to combine all of these observations into a single theory of how the lithosphere moves over the convecting mantle.","During Jurassic-Early Cretaceous, 175-145 million years ago.",0.0,0.0,0.0
5a67e29d8476ee001a58a758,Educators support educational choice as long as what happens?,"and computers. Some private schools are boarding schools and many military academies are privately owned or operated as well. transparency guarantees, and protective security to ensure that people aren’t denied their functionings, capabilities, and agency and can thus work towards a better relevant income. of participants being from governmental organizations.",Students have equal access to resources.,0.0,0.0,0.0
5ad4a110ba00c4001a268e60,What exposes organisms to infection?,"2 are covered in the remainder of this article. components (molecules) found in the organism’s “humors” rather than its cells. cells send out alarm signals, many of which (but not all) are recognized by the same receptors as those that recognize pathogens. Innate immune defenses are non-specific, meaning these systems respond to pathogens in a generic way. This system does not confer long-lasting immunity against a pathogen. The innate immune system is the dominant system of host defense in most organisms.",Weakened immune system or open wounds.,0.0,0.0,0.0
572900f73f37b31900477f6b,"What compounds are released by injured or infected cells, triggering inflammation?","down protein synthesis in the host cell. Growth factors and cytotoxic factors may also be released. These cytokines and other chemicals recruit immune cells to the site of infection and promote healing of any damaged tissue following the removal of pathogens. also act as scavengers, ridding the body of worn-out cells and other debris, and as antigen-presenting cells that activate the adaptive immune system. in many autoimmune and infectious diseases, but may also involve contact dermatitis (poison ivy). These reactions are mediated by T cells, monocytes, and macrophages.","Proteins like histamine, bradykinin, and cytokines.",44.44444444444444,33.33333333333333,66.66666666666666
57286bf84b864d19001649d2,What alumni member also write the bestseller Before I Fall?,"tourists in Egypt, a bloody civil war in Algeria and Osama bin Laden's terror attacks climaxing in the 9/11 attack. and the 2004 Orange Revolution in Ukraine, among other various movements worldwide. of Anarchy to vast audiences during the campaign for a free India.","Lauren Oliver wrote ""Before I Fall"".",50.0,33.33333333333333,100.0
5ad26c15d7d075001a42937d,Which physics were not contradicted by observations and logic?,"physics are the same in every inertial frame of reference, that is, in all frames related by a Galilean transformation. were not improved-on for nearly three hundred years. By the early 20th century, Einstein developed a theory of relativity that correctly predicted the action of forces on objects with increasing momenta near the speed of light, and also provided insight into the forces produced by gravitation and inertia. These were all formulated and experimentally verified before Isaac Newton expounded his Three Laws of Motion.","Newton's laws, gravity, relativity, and electromagnetism remained unchallenged.",0.0,0.0,0.0
5a57eee0770dc0001aeefeda,What happens to the gravel found in xenoliths?,"range. These studies can also give useful information about pathways for metamorphism through pressure, temperature, space, and time. returned by the crashed Genesis spacecraft has shown that the Sun has a higher proportion of oxygen-16 than does the Earth. The measurement implies that an unknown process depleted oxygen-16 from the Sun's disk of protoplanetary material prior to the coalescence of dust grains that formed the Earth. conditions of crystallization of igneous rocks. This work can also help to explain processes that occur within the Earth, such as subduction and magma chamber evolution.",It is assimilated by the surrounding magma.,0.0,0.0,0.0
5a83878de60761001a2eb77a,How do cilia and aboral escape from danger?,"can accelerate to six times its normal speed; some other species reverse direction as part of their escape behavior, by reversing the power stroke of the comb plate cilia. a highly specialized type. Coiling around prey is accomplished largely by the return of the tentilla to their inactive state, but the coils may be tightened by smooth muscle. disturbances created by the cilia, yet combs on the same row beat in the same Mexican wave style as the mechanically coordinated comb rows of cydippids and beroids. This may have enabled lobates to grow larger than cydippids and to have shapes that are less egg-like.","Cilia retract, or animals swim away quickly.",0.0,0.0,0.0
5728349dff5b5019007d9f01,The Amazon rainforest makes up what amount of Earth's rainforests?,"Ecuador, Bolivia, Guyana, Suriname and French Guiana. States or departments in four nations contain ""Amazonas"" in their names. The Amazon represents over half of the planet's remaining rainforests, and comprises the largest and most biodiverse tract of tropical rainforest in the world, with an estimated 390 billion individual trees divided into 16,000 species. drought was focused on the southwestern part. The findings were published in the journal Science. In a typical year the Amazon absorbs 1.5 gigatons of carbon dioxide; during 2005 instead 5 gigatons were released and in 2010 8 gigatons were released. at 356 ± 47 tonnes per hectare. To date, an estimated 438,000 species of plants of economic and social interest have been registered in the region with many more remaining to be discovered or catalogued. The total number of tree species in the region is estimated at 16,000.",About 40% of the world's rainforests.,0.0,0.0,0.0
570d29c2b3d812140066d4c1,How many Victorians are non-religious?,"home of 152,775 Muslims and 45,150 Jews. Hinduism is the fastest growing religion. Around 20% of Victorians claim no religion. Amongst those who declare a religious affiliation, church attendance is low. 0.4% Puerto Rican. Non-Hispanic Whites were 30.0% of the population in 2010, down from 72.6% in 1970. and New York) with large differences in household income.","Approximately 22% of Australians, including Victorians, are non-religious.",0.0,0.0,0.0
572841772ca10214002da1a8,What has been analyzed to compare Amazon rainfall in the past and present?,"many different models are not consistent in their estimation of any rainfall response, ranging from weak increases to strong decreases. The result indicates that the rainforest could be threatened though the 21st century by climate change in addition to deforestation. but extended less far to the north, south, and east than is seen today. This debate has proved difficult to resolve because the practical limitations of working in the rainforest mean that data sampling is biased away from the center of the Amazon basin, and both explanations are reasonably well supported by the available data. drought was focused on the southwestern part. The findings were published in the journal Science. In a typical year the Amazon absorbs 1.5 gigatons of carbon dioxide; during 2005 instead 5 gigatons were released and in 2010 8 gigatons were released.",Tree rings have been analyzed for this purpose.,0.0,0.0,0.0
5a0c99fcf5590b0018dab4a6,The 2010 drought had three what were vegetation increased?,"drought was focused on the southwestern part. The findings were published in the journal Science. In a typical year the Amazon absorbs 1.5 gigatons of carbon dioxide; during 2005 instead 5 gigatons were released and in 2010 8 gigatons were released. many different models are not consistent in their estimation of any rainfall response, ranging from weak increases to strong decreases. The result indicates that the rainforest could be threatened though the 21st century by climate change in addition to deforestation. for Brazil from logging rainforest zones and converting these to pastoral fields.","Drought-tolerant species, water-efficient crops, and native plant growth.",0.0,0.0,0.0
5ad25a8bd7d075001a428e33,What tends to lead to less money?,"lower, population-wide satisfaction and happiness tend to be higher. 2 are covered in the remainder of this article. and New York) with large differences in household income.",Spending habits.,0.0,0.0,0.0
57297bc9af94a219006aa4c7,What is the most elemental way to test the primality of any integer n?,"believed to be correct. In particular, the simplest assumption is that primes should have no significant irregularities without good reason. applied to a composite number. If we repeat the test n times and pass every time, then the probability that our number is composite is 1/(1-p)n, which decreases exponentially with the number of tests, so we can be as sure as we like (though never perfectly sure) that the number is prime. On the other hand, if the test ever fails, then we know that the number is composite. prime. For example, to check the primality of 37, only three divisions are necessary (m = 2, 3, and 5), given that 4 and 6 are composite.",Trial division or checking divisibility up to n.,40.0,25.0,100.0
5ad27f33d7d075001a429753,Where are the least amount of the factories found?,"and New York) with large differences in household income. growth is based on internal migration and urbanisation. California's most developed cities lie along or in close proximity to the coast, with the exception of San Bernardino and Riverside.","Remote, rural areas with limited industrial development.",0.0,0.0,0.0
5ad40346604f3c001a3ffd73,Where had the Mongol capital been before Kublai destroyed it?,"Kublai built schools for Confucian scholars, issued paper money, revived Chinese rituals, and endorsed policies that stimulated agricultural and commercial growth. He adopted as his capital city Kaiping in Inner Mongolia, later renamed Shangdu. as Great Khan. Civil strife had permanently divided the Mongol Empire. Chinese religions and culture, and devised suitable economic and political institutions for the court. But at the same time he never abandoned his Mongolian heritage.","Xanadu, then Karakorum was destroyed by Kublai.",0.0,0.0,0.0
5ad4003b604f3c001a3ffcba, What doesn't Yeke Mongghul Ulus mean?,"as Great Khan. Civil strife had permanently divided the Mongol Empire. terms can also refer to the khanate within the Mongol Empire directly ruled by Great Khans before the actual establishment of the Yuan dynasty by Kublai Khan in 1271. an example is Tugh Temur (Emperor Wenzong), who wrote poetry, painted, read Chinese classical texts, and ordered the compilation of books.","Mongolian people's republic, now part of Mongolia.",0.0,0.0,0.0
56e1b8f3e3433e14004230e6,What are the three primary expressions used to represent case complexity?,"2 are covered in the remainder of this article. complexity, circuit complexity, and decision tree complexity. bounded, some of these may be more powerful than others.","Big O, Big Omega, and Big Theta notation.",16.666666666666664,12.5,25.0
573009a004bcaa1900d7704f,When did the Rhine become borders with Francia?,"The Germanic populations of these lands seem in Roman times to have been scanty, and Roman subjects from the modern Alsace-Lorraine had drifted across the river eastwards. dividit ""(The Rhine is a) river of Gaul, which divides the Germanic people from Gaul."" only a few metres high, prevents it from flowing into the open Seeztal valley and then through Lake Walen and Lake Zurich into the river Aare. The Alpine Rhine begins in the most western part of the Swiss canton of Graubünden, and later forms the border between Switzerland to the West and Liechtenstein and later Austria to the East.",The Rhine became a border with Francia in 496.,0.0,0.0,0.0
572a12381d0469140077972e,What does high levels of inequality do for economic growth in richer countries?,"inequality-associated effects support economic growth. and 2000 found a positive impact of inequality on growth with lead times of five years or less, but no correlation after ten years. Studies of larger data sets have found no correlations for any fixed lead time, and a negative impact on the duration of growth. and introducing inequality. Eventually, through various possible redistribution mechanisms such as social welfare programs, more developed countries move back to lower levels of inequality.","Slows economic growth, reduces social cohesion, and fuels unrest.",18.18181818181818,11.11111111111111,50.0
5ad4e7eb5b96ef001a10a5f7,What gene is expressed by the B-cell?,"activation signal, or additional activation signals provided by ""helper"" T cells (see below). cell's surface, such as CD40 ligand (also called CD154), which provide extra stimulatory signals typically required to activate antibody-producing B cells. Antigen specificity allows for the generation of responses that are tailored to specific pathogens or pathogen-infected cells. The ability to mount these tailored responses is maintained in the body by ""memory cells"". Should a pathogen infect the body more than once, these specific memory cells are used to quickly eliminate it.",Immunoglobulin (Ig) genes are expressed.,0.0,0.0,0.0
57309446396df919000961b9,What were European countries doing during the 1700's?,"as empires due to their political and economic authority over other nations. would distract Germany from its central interest, Europe itself. and Southern Chinese were ranked lower because southern China withstood and fought to the last before caving in. Major commerce during this era gave rise to favorable conditions for private southern Chinese manufacturers and merchants.","Colonizing, trading, and developing their economies and cultures.",33.33333333333333,25.0,100.0
5726bc1add62a815002e8ea6,Which articles of the Free Movement of Workers Regulation set out the primary provisions on equal treatment of workers?,"law in the Court of Justice of the European Union if the Treaty provisions have a direct effect and they are sufficiently clear, precise and unconditional. Generals persuasively argued that Directives should create rights and duties for all citizens. The Court of Justice refused, but there are five large exceptions. The two central provisions on EU competition law on companies were established in article 85, which prohibited anti-competitive agreements, subject to some exemptions, and article 86 prohibiting the abuse of dominant position. The treaty also established principles on competition law for member states, with article 90 covering public undertakings, and article 92 making provisions on state aid.",Articles 3 to 5 of the Regulation.,40.0,33.33333333333333,50.0
57332442d058e614000b5721,What does Warszawa mean in Polish?,"Capital City of Warsaw""). A native or resident of Warsaw is known as a Varsovian – in Polish warszawiak (male), warszawianka (female), warszawiacy (plural). as better only because they lived in the capital. Unfortunately this belief still lives on in Poland (although not as much as it used to be) – even though since 1990 there are no limitations to residency registration anymore. The city resumed its role as the capital of Poland and the country's centre of political and economic life. Many of the historic streets, buildings, and churches were restored to their original form. In 1980, Warsaw's historic Old Town was inscribed onto UNESCO's World Heritage list.","Warszawa means Warsaw, the capital city of Poland.",0.0,0.0,0.0
5ad543c05b96ef001a10abfe,What a scientific model of a general computing machine?,"which is equivalent to stating that the problem may be solved by mechanical application of mathematical steps, such as an algorithm. asks what kind of problems can, in principle, be solved algorithmically. these models have in common is that the machines operate deterministically.","Turing Machine, proposed by Alan Turing in 1936.",0.0,0.0,0.0
5acfefcc77cf76001a6865ab, What type of outlook do some of the non-Muslims in London have?,"in France became Catholics and were called ""new converts"". tourists in Egypt, a bloody civil war in Algeria and Osama bin Laden's terror attacks climaxing in the 9/11 attack. that Shia and other non-Wahhabi Muslims were infidels, etc. While this effort has by no means converted all, or even most Muslims to the Wahhabist interpretation of Islam, it has done much to overwhelm more moderate local interpretations, and has set the Saudi-interpretation of Islam as the ""gold standard"" of religion in minds of some or many Muslims.","Some have a positive, tolerant, and accepting outlook.",0.0,0.0,0.0
5ad039be77cf76001a686e5e,What are established at the end of each parliamentary session?,"to cause the bill to fall without a final vote being taken. After a general debate on the final form of the bill, members proceed to vote at Decision Time on whether they agree to the general principles of the final bill. not be accorded official parliamentary time. As well as the proposer, other members normally contribute to the debate. The relevant minister, whose department the debate and motion relate to ""winds up"" the debate by speaking after all other participants. the general principles of the bill. If the whole Parliament agrees in a vote to the general principles of the bill, it then proceeds to Stage 2.",Orders of business are established.,0.0,0.0,0.0
5ad40219604f3c001a3ffd45, Who led a Mongol defense on the Song dynasty?,of the new state. Chagaan (Tsagaan) and Zhang Rou jointly launched an attack on the Song dynasty ordered by Töregene Khatun. massacred by the Yuan loyalist commander Chen Youding. end to the Song dynasty. The conquest of the Song reunited northern and southern China for the first time in three hundred years.,Ögedei Khan led the Mongol defense.,0.0,0.0,0.0
5ad3f028604f3c001a3ff823,Who attacked Dyrrachium in the 11th century?,"The further decline of Byzantine state-of-affairs paved the road to a third attack in 1185, when a large Norman army invaded Dyrrachium, owing to the betrayal of high Byzantine officials. Some time later, Dyrrachium—one of the most important naval bases of the Adriatic—fell again to Byzantine hands. Maniakates were descended from Normans who served under George Maniaces in the Sicilian expedition of 1038. who had settled there. The Normans were now free to penetrate into the hinterland; they took Ioannina and some minor cities in southwestern Macedonia and Thessaly before appearing at the gates of Thessalonica. Dissension among the high ranks coerced the Normans to retreat to Italy. They lost Dyrrachium, Valona, and Butrint in 1085, after the death of Robert.",Normans under Robert Guiscard.,0.0,0.0,0.0
5a2ebaada83784001a7d2441,What was one of the countries that had isolated alpine villages?,"the Baltics, Scotland and the Alps, but left the space between as open tundra. The loess or wind-blown dust over that tundra, settled in and around the Rhine Valley, contributing to its current agricultural usefulness. The Germanic populations of these lands seem in Roman times to have been scanty, and Roman subjects from the modern Alsace-Lorraine had drifted across the river eastwards. would distract Germany from its central interest, Europe itself.","Switzerland, with its remote mountain communities.",0.0,0.0,0.0
